Year,Index,logSE,lowerCI,upperCI
1980,0.19,0.26,0.111,0.306
1981,0.086,0.221,0.054,0.129
1982,0.119,0.241,0.072,0.186
1983,0.152,0.35,0.072,0.284
1984,0.056,0.296,0.03,0.096
1985,0.091,0.269,0.052,0.148
1986,0.121,0.429,0.048,0.255
1987,0.234,0.167,0.166,0.32
1988,0.193,0.175,0.135,0.268
1989,0.084,0.162,0.06,0.113
1993,0.178,0.135,0.135,0.23
1994,0.152,0.135,0.116,0.196
1995,0.115,0.136,0.088,0.149
1996,0.093,0.178,0.065,0.13
1997,0.116,0.172,0.082,0.16
1998,0.131,0.183,0.09,0.185
1999,0.134,0.128,0.104,0.171
2000,0.132,0.147,0.097,0.174
2001,0.109,0.225,0.068,0.165
2002,0.109,0.196,0.073,0.157
2003,0.044,0.53,0.013,0.107
