,Area 4 with Stephens-MacCall,,,Area 4 without Stephens-MacCall,,
,Index,Standard Error,CV,Index,Standard Error,CV
1981,0.481,0.158,0.282,0.301,0.057,0.166
1982,0.383,0.06,0.169,0.23,0.026,0.106
1983,0.455,0.06,0.134,0.252,0.03,0.113
1984,0.482,0.048,0.093,0.179,0.015,0.072
1985,0.691,0.069,0.092,0.283,0.021,0.065
1986,0.562,0.059,0.096,0.307,0.029,0.083
1987,0.454,0.036,0.075,0.255,0.017,0.062
1988,0.559,0.05,0.081,0.309,0.022,0.065
1989,0.713,0.048,0.065,0.414,0.023,0.052
1990,0.781,0.057,0.071,0.426,0.026,0.056
1991,0.597,0.063,0.1,0.349,0.027,0.071
1992,0.703,0.047,0.068,0.376,0.051,0.118
1993,0.603,0.049,0.079,0.318,0.021,0.062
1994,0.567,0.047,0.075,0.327,0.02,0.056
1995,0.549,0.036,0.064,0.264,0.015,0.054
1996,0.332,0.026,0.081,0.169,0.011,0.064
1997,0.324,0.027,0.088,0.155,0.01,0.066
1998,0.321,0.028,0.097,0.139,0.011,0.081
1999,0.349,0.042,0.119,0.156,0.015,0.094
2000,0.458,0.045,0.103,0.206,0.017,0.081
2001,0.568,0.058,0.101,0.267,0.021,0.073
2002,0.415,0.056,0.131,0.178,0.016,0.088
2003,0.354,0.062,0.161,0.187,0.018,0.094
2004,0.291,0.048,0.169,0.166,0.015,0.097
2005,0.297,0.03,0.105,0.148,0.011,0.077
2006,0.343,0.05,0.145,0.158,0.014,0.088
2007,0.459,0.088,0.177,0.226,0.031,0.12
2008,0.524,0.074,0.126,0.25,0.022,0.078
2009,0.51,0.06,0.116,0.213,0.022,0.093
2010,0.643,0.123,0.149,0.194,0.03,0.117
2011,0.68,0.077,0.116,0.229,0.023,0.092
2012,0.583,0.107,0.16,0.165,0.024,0.121
2013,0.71,0.089,0.118,0.189,0.019,0.092
2014,0.617,0.12,0.165,0.139,0.019,0.118
